target_img,prob_img,cue_text,is_match
stimuli/face.png,stimuli/zebra.png,->...->...->?,no_match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/zebra.png,stimuli/scissor.png,->...->...->?,match
stimuli/zebra.png,stimuli/zebra.png,->...->...->?,no_match
stimuli/banana.png,stimuli/zebra.png,->...->...->?,match
stimuli/zebra.png,stimuli/scissor.png,->...->...->?,match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/face.png,stimuli/banana.png,->...->...->?,match
stimuli/scissor.png,stimuli/banana.png,->...->...->?,no_match
stimuli/banana.png,stimuli/banana.png,->...->...->?,no_match
stimuli/face.png,stimuli/face.png,->...->...->?,no_match
stimuli/banana.png,stimuli/scissor.png,->...->...->?,no_match
