6.0493 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
6.0502 	INFO 	Loaded monitor calibration from ['2024_05_09 12:12']
6.3167 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023207B89580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023207B89520>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023207CC5A60>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3168 	EXP 	window1: backgroundImage = ''
6.3168 	EXP 	window1: backgroundFit = 'none'
6.3247 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3260 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3273 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3290 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3306 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3316 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3328 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3344 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3352 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3361 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3373 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3386 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3398 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3411 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3423 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3437 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3450 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3459 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3469 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3484 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3493 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3497 	DEBUG 	Uploading Texture Font fontname to graphics card
6.3520 	DEBUG 	Upload of Texture Font fontname complete
6.3586 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3602 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3616 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.3618 	DEBUG 	Uploading Texture Font fontname to graphics card
6.3629 	DEBUG 	Upload of Texture Font fontname complete
6.3648 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.3648 	EXP 	window1: recordFrameIntervals = False
6.5263 	EXP 	window1: recordFrameIntervals = True
6.7099 	EXP 	Screen (0) actual frame rate measured at 60.19Hz
6.7099 	EXP 	window1: recordFrameIntervals = False
6.7156 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7166 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
