image_file,presented_word,is_match,blank_duration,iti_duration,corrAns
stimuli/ciseau.png,zèbre,mismatch,1.86,1.43,1
stimuli/banane.png,face,mismatch,1.74,1.36,1
stimuli/zèbre.png,zèbre,match,1.98,2.91,2
stimuli/banane.png,face,mismatch,1.25,2.5,1
stimuli/zèbre.png,zèbre,match,1.36,2.57,2
stimuli/zèbre.png,zèbre,match,1.35,2.69,2
stimuli/banane.png,face,mismatch,1.39,1.27,1
stimuli/banane.png,banane,match,1.41,1.32,2
stimuli/face.png,banane,mismatch,1.99,2.07,1
stimuli/zèbre.png,ciseau,mismatch,1.89,1.0,1
stimuli/face.png,face,match,1.75,2.69,2
stimuli/zèbre.png,banane,mismatch,1.42,1.64,1
stimuli/zèbre.png,face,mismatch,1.63,2.78,1
stimuli/banane.png,banane,match,1.89,2.09,2
stimuli/ciseau.png,ciseau,match,1.2,1.08,2
stimuli/zèbre.png,face,mismatch,1.82,1.84,1
stimuli/face.png,ciseau,mismatch,1.34,1.71,1
stimuli/ciseau.png,ciseau,match,1.37,2.88,2
stimuli/ciseau.png,zèbre,mismatch,1.04,2.94,1
stimuli/face.png,face,match,1.28,2.83,2
stimuli/face.png,face,match,1.03,1.93,2
stimuli/zèbre.png,banane,mismatch,1.24,2.81,1
stimuli/face.png,face,match,1.37,2.16,2
stimuli/face.png,face,match,1.9,1.23,2
stimuli/ciseau.png,face,mismatch,1.43,2.15,1
stimuli/zèbre.png,zèbre,match,1.78,2.16,2
stimuli/zèbre.png,banane,mismatch,1.61,1.7,1
stimuli/ciseau.png,ciseau,match,1.47,1.2,2
stimuli/ciseau.png,zèbre,mismatch,1.24,1.1,1
stimuli/zèbre.png,zèbre,match,1.87,2.38,2
stimuli/zèbre.png,banane,mismatch,1.78,2.65,1
stimuli/ciseau.png,ciseau,match,1.47,2.89,2
stimuli/banane.png,zèbre,mismatch,1.97,2.33,1
stimuli/face.png,banane,mismatch,1.48,1.58,1
stimuli/face.png,face,match,1.62,1.25,2
stimuli/banane.png,face,mismatch,1.06,2.39,1
stimuli/banane.png,ciseau,mismatch,1.58,2.48,1
stimuli/zèbre.png,zèbre,match,1.03,1.32,2
stimuli/ciseau.png,ciseau,match,1.2,1.05,2
stimuli/ciseau.png,face,mismatch,1.83,1.45,1
stimuli/banane.png,banane,match,1.3,2.06,2
stimuli/banane.png,zèbre,mismatch,1.43,1.63,1
stimuli/face.png,zèbre,mismatch,1.49,2.46,1
stimuli/banane.png,banane,match,1.98,3.0,2
stimuli/banane.png,banane,match,1.75,2.18,2
stimuli/ciseau.png,zèbre,mismatch,1.92,2.2,1
stimuli/ciseau.png,ciseau,match,1.65,1.86,2
stimuli/zèbre.png,ciseau,mismatch,1.23,1.58,1
stimuli/ciseau.png,zèbre,mismatch,1.09,1.14,1
stimuli/banane.png,banane,match,1.85,1.39,2
stimuli/zèbre.png,zèbre,match,1.17,2.67,2
stimuli/ciseau.png,face,mismatch,1.13,1.16,1
stimuli/face.png,face,match,1.2,2.88,2
stimuli/zèbre.png,zèbre,match,1.05,1.27,2
stimuli/banane.png,face,mismatch,1.62,1.09,1
stimuli/banane.png,face,mismatch,1.15,2.26,1
stimuli/ciseau.png,ciseau,match,1.25,1.55,2
stimuli/ciseau.png,zèbre,mismatch,1.94,1.11,1
stimuli/face.png,face,match,1.47,1.49,2
stimuli/zèbre.png,zèbre,match,1.67,1.84,2
stimuli/face.png,zèbre,mismatch,1.32,1.35,1
stimuli/zèbre.png,ciseau,mismatch,1.37,1.28,1
stimuli/face.png,face,match,1.2,2.51,2
stimuli/banane.png,zèbre,mismatch,1.11,1.76,1
stimuli/face.png,face,match,1.3,2.21,2
stimuli/zèbre.png,zèbre,match,1.47,1.76,2
stimuli/face.png,banane,mismatch,1.16,1.1,1
stimuli/face.png,face,match,1.89,1.6,2
stimuli/banane.png,banane,match,1.64,2.21,2
stimuli/zèbre.png,ciseau,mismatch,1.78,1.49,1
stimuli/banane.png,ciseau,mismatch,1.88,1.27,1
stimuli/face.png,face,match,1.32,1.96,2
stimuli/banane.png,banane,match,1.43,2.15,2
stimuli/zèbre.png,banane,mismatch,1.61,1.95,1
stimuli/banane.png,zèbre,mismatch,1.26,2.1,1
stimuli/banane.png,banane,match,1.76,1.6,2
stimuli/face.png,face,match,1.98,1.05,2
stimuli/ciseau.png,banane,mismatch,1.42,1.63,1
stimuli/banane.png,banane,match,1.03,2.45,2
stimuli/ciseau.png,ciseau,match,1.06,2.56,2
stimuli/zèbre.png,banane,mismatch,1.98,1.98,1
stimuli/banane.png,face,mismatch,1.52,1.27,1
stimuli/ciseau.png,ciseau,match,1.36,1.62,2
stimuli/zèbre.png,face,mismatch,1.6,2.13,1
stimuli/face.png,face,match,1.62,2.48,2
stimuli/banane.png,banane,match,1.3,2.66,2
stimuli/face.png,zèbre,mismatch,1.38,2.98,1
stimuli/zèbre.png,zèbre,match,1.32,1.36,2
stimuli/ciseau.png,face,mismatch,1.9,1.98,1
stimuli/zèbre.png,face,mismatch,1.6,1.52,1
stimuli/zèbre.png,zèbre,match,1.36,2.41,2
stimuli/face.png,ciseau,mismatch,1.11,2.5,1
stimuli/ciseau.png,zèbre,mismatch,1.49,2.14,1
stimuli/banane.png,banane,match,1.29,2.56,2
stimuli/face.png,zèbre,mismatch,1.55,1.62,1
stimuli/face.png,face,match,1.94,2.3,2
stimuli/ciseau.png,banane,mismatch,1.7,1.1,1
stimuli/banane.png,banane,match,1.71,1.27,2
stimuli/banane.png,face,mismatch,1.61,1.7,1
stimuli/zèbre.png,ciseau,mismatch,1.81,2.28,1
stimuli/ciseau.png,ciseau,match,1.98,1.01,2
stimuli/ciseau.png,face,mismatch,1.26,1.81,1
stimuli/zèbre.png,banane,mismatch,1.0,1.81,1
stimuli/banane.png,banane,match,1.15,2.17,2
stimuli/face.png,ciseau,mismatch,1.61,2.84,1
stimuli/ciseau.png,face,mismatch,1.25,1.12,1
stimuli/zèbre.png,zèbre,match,1.52,2.06,2
stimuli/banane.png,face,mismatch,1.95,2.36,1
stimuli/zèbre.png,face,mismatch,1.98,1.99,1
stimuli/zèbre.png,zèbre,match,1.47,1.45,2
stimuli/ciseau.png,face,mismatch,1.11,2.08,1
stimuli/zèbre.png,face,mismatch,1.99,1.59,1
stimuli/face.png,face,match,1.01,1.09,2
stimuli/face.png,banane,mismatch,1.96,2.25,1
stimuli/ciseau.png,ciseau,match,1.47,2.78,2
stimuli/face.png,face,match,1.98,2.74,2
stimuli/face.png,zèbre,mismatch,1.15,2.69,1
stimuli/banane.png,face,mismatch,1.07,1.12,1
stimuli/face.png,face,match,1.36,1.33,2
stimuli/ciseau.png,ciseau,match,1.24,1.96,2
stimuli/zèbre.png,banane,mismatch,1.62,1.28,1
stimuli/banane.png,ciseau,mismatch,1.6,1.98,1
stimuli/zèbre.png,zèbre,match,1.65,2.16,2
stimuli/zèbre.png,ciseau,mismatch,1.12,2.66,1
stimuli/face.png,banane,mismatch,1.09,1.54,1
stimuli/ciseau.png,ciseau,match,1.69,2.35,2
stimuli/face.png,face,match,1.21,1.43,2
stimuli/ciseau.png,face,mismatch,1.08,1.63,1
stimuli/zèbre.png,zèbre,match,1.44,2.3,2
stimuli/ciseau.png,banane,mismatch,1.31,1.9,1
stimuli/banane.png,face,mismatch,1.51,2.82,1
stimuli/face.png,face,match,1.74,2.84,2
stimuli/ciseau.png,ciseau,match,1.89,1.96,2
stimuli/face.png,ciseau,mismatch,1.59,2.65,1
stimuli/banane.png,ciseau,mismatch,1.62,1.71,1
stimuli/face.png,face,match,1.54,2.36,2
stimuli/ciseau.png,ciseau,match,1.59,2.15,2
stimuli/ciseau.png,banane,mismatch,1.82,1.63,1
stimuli/banane.png,banane,match,1.48,2.82,2
stimuli/banane.png,face,mismatch,1.24,1.67,1
stimuli/face.png,face,match,1.29,2.92,2
stimuli/banane.png,banane,match,1.74,1.24,2
stimuli/banane.png,face,mismatch,1.03,2.45,1
stimuli/zèbre.png,zèbre,match,1.61,2.18,2
stimuli/face.png,zèbre,mismatch,1.98,1.91,1
stimuli/face.png,face,match,1.34,1.62,2
stimuli/banane.png,banane,match,1.39,1.78,2
stimuli/banane.png,zèbre,mismatch,1.83,2.3,1
stimuli/ciseau.png,banane,mismatch,1.38,2.25,1
stimuli/banane.png,banane,match,1.7,1.1,2
stimuli/face.png,face,match,1.82,1.96,2
stimuli/banane.png,zèbre,mismatch,1.09,2.34,1
stimuli/ciseau.png,ciseau,match,1.47,1.57,2
stimuli/ciseau.png,ciseau,match,1.76,1.0,2
stimuli/face.png,banane,mismatch,1.52,2.55,1
stimuli/ciseau.png,zèbre,mismatch,1.18,2.02,1
stimuli/zèbre.png,zèbre,match,1.65,2.6,2
stimuli/banane.png,zèbre,mismatch,1.82,1.28,1
stimuli/banane.png,face,mismatch,1.05,1.3,1
stimuli/ciseau.png,ciseau,match,1.74,1.79,2
stimuli/ciseau.png,face,mismatch,1.24,1.17,1
stimuli/face.png,ciseau,mismatch,1.29,1.91,1
stimuli/zèbre.png,zèbre,match,1.66,2.52,2
stimuli/banane.png,banane,match,1.71,2.26,2
stimuli/zèbre.png,banane,mismatch,1.27,1.31,1
stimuli/banane.png,ciseau,mismatch,1.59,1.48,1
stimuli/face.png,face,match,1.77,1.32,2
stimuli/zèbre.png,zèbre,match,1.62,2.55,2
stimuli/banane.png,zèbre,mismatch,1.71,2.31,1
stimuli/ciseau.png,ciseau,match,1.16,1.48,2
stimuli/face.png,face,match,1.8,1.28,2
stimuli/face.png,banane,mismatch,1.84,1.26,1
stimuli/zèbre.png,face,mismatch,1.38,1.86,1
stimuli/face.png,face,match,1.18,2.91,2
stimuli/zèbre.png,ciseau,mismatch,1.96,2.94,1
stimuli/ciseau.png,ciseau,match,1.52,1.7,2
stimuli/face.png,zèbre,mismatch,1.4,1.29,1
stimuli/zèbre.png,banane,mismatch,1.97,1.76,1
stimuli/banane.png,banane,match,1.23,2.64,2
stimuli/zèbre.png,face,mismatch,1.12,2.24,1
stimuli/face.png,face,match,1.01,1.43,2
stimuli/banane.png,banane,match,1.46,2.83,2
stimuli/zèbre.png,banane,mismatch,1.96,2.83,1
stimuli/ciseau.png,ciseau,match,1.03,2.85,2
stimuli/zèbre.png,zèbre,match,1.77,2.38,2
stimuli/face.png,zèbre,mismatch,1.34,2.85,1
stimuli/ciseau.png,face,mismatch,1.12,1.62,1
stimuli/banane.png,banane,match,1.81,1.14,2
stimuli/ciseau.png,banane,mismatch,1.4,1.12,1
stimuli/zèbre.png,zèbre,match,1.01,2.09,2
stimuli/banane.png,ciseau,mismatch,1.85,2.03,1
stimuli/banane.png,banane,match,1.01,2.56,2
stimuli/face.png,face,match,1.15,1.13,2
stimuli/banane.png,ciseau,mismatch,1.22,1.23,1
stimuli/face.png,ciseau,mismatch,1.78,2.73,1
stimuli/face.png,face,match,1.7,1.11,2
stimuli/banane.png,face,mismatch,1.55,2.24,1
stimuli/zèbre.png,zèbre,match,1.64,2.44,2
stimuli/face.png,banane,mismatch,1.03,1.99,1
stimuli/face.png,face,match,1.0,2.36,2
stimuli/banane.png,banane,match,1.15,2.22,2
stimuli/zèbre.png,face,mismatch,1.58,2.92,1
stimuli/banane.png,zèbre,mismatch,1.94,1.75,1
stimuli/banane.png,banane,match,1.5,1.66,2
stimuli/zèbre.png,zèbre,match,1.94,1.95,2
stimuli/face.png,ciseau,mismatch,2.0,2.7,1
stimuli/face.png,zèbre,mismatch,1.08,1.3,1
stimuli/ciseau.png,ciseau,match,1.4,2.95,2
stimuli/ciseau.png,zèbre,mismatch,1.09,2.54,1
stimuli/banane.png,banane,match,1.91,1.29,2
stimuli/face.png,ciseau,mismatch,1.73,2.9,1
stimuli/banane.png,banane,match,1.84,1.44,2
stimuli/ciseau.png,banane,mismatch,1.31,1.1,1
stimuli/ciseau.png,banane,mismatch,1.44,2.63,1
stimuli/face.png,face,match,1.69,2.93,2
stimuli/ciseau.png,ciseau,match,1.73,2.44,2
stimuli/face.png,zèbre,mismatch,1.46,1.84,1
stimuli/face.png,zèbre,mismatch,1.41,1.47,1
stimuli/zèbre.png,zèbre,match,1.22,2.37,2
stimuli/face.png,banane,mismatch,1.93,2.88,1
stimuli/ciseau.png,zèbre,mismatch,1.2,1.57,1
stimuli/zèbre.png,zèbre,match,1.46,2.63,2
stimuli/ciseau.png,ciseau,match,1.16,1.57,2
