block,cue_direction,cue_text,probe_image_file,correct_response
1,forward,1 ->,stimuli/zebra.png,1
1,forward,1 ->,stimuli/scissor.png,1
1,forward,1 ->,stimuli/banana.png,1
1,forward,1 ->,stimuli/banana.png,1
1,backward,<- 4,stimuli/face_lure.png,2
1,forward,1 ->,stimuli/banana.png,1
1,backward,<- 4,stimuli/new2.png,2
1,backward,<- 4,stimuli/new2.png,2
1,forward,1 ->,stimuli/banana.png,1
1,backward,<- 4,stimuli/new1.png,2
1,forward,1 ->,stimuli/scissor.png,1
1,forward,1 ->,stimuli/banana.png,1
1,forward,1 ->,stimuli/banana.png,1
1,forward,1 ->,stimuli/face.png,1
1,backward,<- 4,stimuli/new4.png,2
1,backward,<- 4,stimuli/new1.png,2
1,forward,1 ->,stimuli/scissor.png,1
1,forward,1 ->,stimuli/zebra.png,1
1,forward,1 ->,stimuli/scissor.png,1
1,forward,1 ->,stimuli/zebra.png,1
1,backward,<- 4,stimuli/new3.png,2
1,forward,1 ->,stimuli/face.png,1
1,forward,1 ->,stimuli/face.png,1
1,forward,1 ->,stimuli/scissor.png,1
1,forward,1 ->,stimuli/face.png,1
1,forward,1 ->,stimuli/scissor.png,1
1,forward,1 ->,stimuli/zebra.png,1
1,backward,<- 4,stimuli/banana_lure.png,2
1,forward,1 ->,stimuli/banana.png,1
1,backward,<- 4,stimuli/banana_lure.png,2
1,forward,1 ->,stimuli/banana.png,1
1,backward,<- 4,stimuli/banana_lure.png,2
2,forward,1 ->,stimuli/scissor.png,1
2,backward,<- 4,stimuli/new1.png,2
2,backward,<- 4,stimuli/new4.png,2
2,forward,1 ->,stimuli/scissor.png,1
2,backward,<- 4,stimuli/new1.png,2
2,backward,<- 4,stimuli/face_lure.png,2
2,forward,1 ->,stimuli/scissor.png,1
2,forward,1 ->,stimuli/banana.png,1
2,forward,1 ->,stimuli/banana.png,1
2,forward,1 ->,stimuli/banana.png,1
2,backward,<- 4,stimuli/new3.png,2
2,backward,<- 4,stimuli/zebra_lure.png,2
2,backward,<- 4,stimuli/new4.png,2
2,forward,1 ->,stimuli/banana.png,1
2,backward,<- 4,stimuli/banana_lure.png,2
2,backward,<- 4,stimuli/new1.png,2
2,backward,<- 4,stimuli/zebra_lure.png,2
2,backward,<- 4,stimuli/new3.png,2
2,backward,<- 4,stimuli/zebra_lure.png,2
2,backward,<- 4,stimuli/banana_lure.png,2
2,backward,<- 4,stimuli/scissor_lure.png,2
2,forward,1 ->,stimuli/zebra.png,1
2,forward,1 ->,stimuli/banana.png,1
2,forward,1 ->,stimuli/zebra.png,1
2,forward,1 ->,stimuli/scissor.png,1
2,backward,<- 4,stimuli/new4.png,2
2,forward,1 ->,stimuli/face.png,1
2,backward,<- 4,stimuli/new2.png,2
2,backward,<- 4,stimuli/new3.png,2
2,backward,<- 4,stimuli/face_lure.png,2
2,forward,1 ->,stimuli/banana.png,1
2,backward,<- 4,stimuli/new2.png,2
3,backward,<- 4,stimuli/scissor_lure.png,2
3,backward,<- 4,stimuli/new2.png,2
3,backward,<- 4,stimuli/new2.png,2
3,backward,<- 4,stimuli/new3.png,2
3,backward,<- 4,stimuli/face_lure.png,2
3,backward,<- 4,stimuli/zebra_lure.png,2
3,backward,<- 4,stimuli/new2.png,2
3,backward,<- 4,stimuli/banana_lure.png,2
3,forward,1 ->,stimuli/zebra.png,1
3,backward,<- 4,stimuli/new1.png,2
3,forward,1 ->,stimuli/scissor.png,1
3,forward,1 ->,stimuli/scissor.png,1
3,forward,1 ->,stimuli/face.png,1
3,forward,1 ->,stimuli/face.png,1
3,backward,<- 4,stimuli/scissor_lure.png,2
3,forward,1 ->,stimuli/scissor.png,1
3,backward,<- 4,stimuli/banana_lure.png,2
3,backward,<- 4,stimuli/new3.png,2
3,backward,<- 4,stimuli/banana_lure.png,2
3,backward,<- 4,stimuli/new4.png,2
3,forward,1 ->,stimuli/face.png,1
3,forward,1 ->,stimuli/banana.png,1
3,backward,<- 4,stimuli/face_lure.png,2
3,forward,1 ->,stimuli/zebra.png,1
3,forward,1 ->,stimuli/scissor.png,1
3,backward,<- 4,stimuli/zebra_lure.png,2
3,forward,1 ->,stimuli/zebra.png,1
3,forward,1 ->,stimuli/face.png,1
3,forward,1 ->,stimuli/face.png,1
3,backward,<- 4,stimuli/banana_lure.png,2
3,backward,<- 4,stimuli/zebra_lure.png,2
3,backward,<- 4,stimuli/new4.png,2
